Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,ceshhar-zim,IMPLEMENTATION,CommCare Advanced Edition - Pay Annually,True,
production,casesearch-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,survivorcare-ss3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,survivorcare
production,ny-seneca-cdcms,PRODUCT,CommCare Paused Edition,True,
production,vee-test-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-custer,,,,
production,ccc-kmc,INTERNAL,Enterprise Plan for Connect - test spaces,,ccc-kmc-testing
production,analytics-test-env,INTERNAL,Dimagi Only CommCare Enterprise Edition,,"analytics-test-big-bird,analytics-test-bert,analytics-test-cookie-mon,analytics-test-count,analytics-test-kermit"
production,ny-otsego-cdcms,PRODUCT,CommCare Paused Edition,True,
production,nick-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,rapid-assessment-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,kriti-test,NOT_SET,Dimagi Only CommCare Enterprise Edition,,
production,erm-downstream,INTERNAL,qa_erm,True,
production,ush-migration-transfer,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,fourth-story-window,INTERNAL,Dimagi Only CommCare Enterprise Edition,,beautiful-grotesque
production,campaign-angola,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,solina-nigeria,PRODUCT,CommCare Paused Edition,,
production,ak-covid19-load-testing,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ccc-kmc-testing,INTERNAL,Enterprise Plan for Connect - test spaces,,
production,projectx-dd,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,solina-dev,PRODUCT,CommCare Paused Edition,False,solina-nigeria
production,somerville-hhs-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,chandler-smith-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,hep-b-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-clinton-cdcms,PRODUCT,CommCare Paused Edition,True,
production,senegal-arch-3-study,PRODUCT,CommCare Paused Edition,,
production,acted-drc-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,vt-prod,PRODUCT,CommCare Paused Edition,True,
production,ny-warren-cdcms,PRODUCT,CommCare Paused Edition,True,
production,copy-of-colorado-app,,,,
production,teama,PRODUCT,CommCare Free Edition,,
production,ccc-chc-jhf-2024-25,INTERNAL,Enterprise Plan for Connect - test spaces,,
production,ccc-chc-ppf-2024-25,IMPLEMENTATION,CommCare Paused Edition,,
production,ush-migration-d,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-riogrande,,,,
production,bha-cs-playground,,,,
production,commcare-learning-3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,bugs-1
production,ceshhar-zim-dev,SANDBOX,Dimagi Only CommCare Enterprise Edition,True,ceshhar-zim
production,rselwitz,INTERNAL,Dimagi Only CommTrack Enterprise Edition,,
production,co-slv,,,,
production,co-conejos,,,,
production,irc-gavi-reach,PRODUCT,CommCare Enterprise Edition - IRC - Pay Monthly,,
production,nj-covid-mercer,,,,
